TAKIM NO,PAKET NUMARASI,GONDERME SAATI,BASINC,YUKSEKLIK,INIS HIZI,SICAKLIK,PIL GERILIMI,GPS LATITUDE,GPS LONGITUDE,GPS ALTITUDE,UYDU STATUSU,PITCH,ROLL,YAW,DONUS SAYISI,VIDEO AKTARIM BILGISI, SON KOMUT
79108,1574,14/9/2021 06/48/21,1007.40,0.14,-0.40,29.96,12.41,0.000000,0.000000,0.00,Ucus Bekleniyor,-8.87,4.68,308.06,24.17,HAYIR,
79108,1575,14/9/2021 06/48/22,1007.40,0.14,-0.10,29.96,12.32,0.000000,0.000000,0.00,Ucus Bekleniyor,-2.56,-4.18,319.62,24.17,HAYIR,
79108,1,14/9/2021 06/48/23,1007.40,0.00,-0.10,29.96,12.32,0.000000,0.000000,0.00,Ucus Bekleniyor,-2.50,-0.68,321.56,0.14,HAYIR,KALIBRE ET
79108,2,14/9/2021 06/48/24,1007.43,-0.22,0.00,29.99,12.32,0.000000,0.000000,0.00,Ucus Bekleniyor,-2.12,0.00,322.06,1.03,HAYIR,KALIBRE ET
79108,3,14/9/2021 06/48/25,1007.40,0.01,-0.10,30.01,12.32,0.000000,0.000000,0.00,Ucus Bekleniyor,-1.81,0.56,322.06,1.03,HAYIR,KALIBRE ET
79108,4,14/9/2021 06/48/26,1007.37,0.26,0.20,30.02,12.32,0.000000,0.000000,0.00,Ucus Bekleniyor,-1.93,0.81,322.62,1.03,HAYIR,KALIBRE ET
79108,5,14/9/2021 06/48/27,1007.38,0.20,0.10,30.03,12.41,0.000000,0.000000,0.00,Ucus Bekleniyor,-2.00,0.93,323.00,1.03,HAYIR,KALIBRE ET
79108,6,14/9/2021 06/48/28,1007.40,0.05,0.00,30.05,12.41,0.000000,0.000000,0.00,Ucus Bekleniyor,-1.75,1.56,324.56,1.03,HAYIR,KALIBRE ET
79108,7,14/9/2021 06/48/29,1007.37,0.30,-0.10,30.06,12.32,0.000000,0.000000,0.00,Ucus Bekleniyor,-1.56,1.87,324.12,1.04,HAYIR,KALIBRE ET
79108,8,14/9/2021 06/48/30,1007.35,0.45,0.30,30.08,12.41,0.000000,0.000000,0.00,Ucus Bekleniyor,-1.37,1.93,324.31,1.04,HAYIR,KALIBRE ET
79108,9,14/9/2021 06/48/31,1007.35,0.51,0.00,30.08,12.41,0.000000,0.000000,0.00,Ucus Bekleniyor,-2.06,1.75,323.56,1.04,HAYIR,KALIBRE ET
